Country,Date,Exports,Unit
Saudi Arabia,Jan-24,1243,Thousand Barrels per Day (kb/d
Saudi Arabia,Feb-24,1390,Thousand Barrels per Day (kb/d
Saudi Arabia,Mar-24,1252,Thousand Barrels per Day (kb/d
Saudi Arabia,Apr-24,1406,Thousand Barrels per Day (kb/d
Saudi Arabia,May-24,1221,Thousand Barrels per Day (kb/d
Saudi Arabia,Jun-24,1366,Thousand Barrels per Day (kb/d
Saudi Arabia,Jul-24,1128,Thousand Barrels per Day (kb/d
Saudi Arabia,Aug-24,1254,Thousand Barrels per Day (kb/d
Saudi Arabia,Sep-24,1544,Thousand Barrels per Day (kb/d
Saudi Arabia,Oct-24,1405,Thousand Barrels per Day (kb/d
Saudi Arabia,Nov-24,1143,Thousand Barrels per Day (kb/d
Saudi Arabia,Dec-24,1131,Thousand Barrels per Day (kb/d
