Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Jan,314
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Feb,506
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Mar,456
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Apr,399
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,May,406
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Jun,387
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Jul,369
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Aug,381
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Sep,393
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Oct,387
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Nov,406
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2002,Dec,380
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Jan,483
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Feb,438
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Mar,320
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Apr,434
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,May,373
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Jun,389
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Jul,356
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Aug,378
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Sep,488
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Oct,426
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Nov,582
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2003,Dec,536
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,Jan,569
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,Feb,486
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,Mar,577
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,Apr,373
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,May,373
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,Jun,437
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,Jul,509
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,Aug,518
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,Sep,601
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2004,Oct,499
