Country,Product,Balance,Unit,Year,Month,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Jan,1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Feb,1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Mar,1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Apr,1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,May,1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Jun,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Jul,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Aug,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Sep,1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Oct,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Nov,1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2002,Dec,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Jan,1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Feb,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Mar,1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Apr,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,May,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Jun,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Jul,1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Aug,1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Sep,1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Oct,1509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Nov,1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2003,Dec,1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Jan,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Feb,1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Mar,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Apr,1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,May,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Jun,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Jul,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Aug,1673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Sep,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Oct,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Nov,1708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2004,Dec,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Jan,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Feb,1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Mar,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Apr,1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,May,1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Jun,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Jul,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Aug,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Sep,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
