Country,Company,Name of The Refinery,Year,"Capacity  (1,000 b/cd)"
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2002,325
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2003,525
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2004,525
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2005,535
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2006,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2007,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2008,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2009,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2010,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2011,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2012,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2013,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2014,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2015,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2016,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2017,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2018,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2019,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2020,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2021,550
Saudi Arabia,Saudi Aramco,Ras Tanura Refinery,2022,550
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2002,225
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2003,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2004,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2005,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2006,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2007,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2008,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2009,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2010,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2011,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2012,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2013,235
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2014,245
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2015,245
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2016,245
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2017,245
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2018,245
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2019,245
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2020,252
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2021,252
Saudi Arabia,Saudi Aramco,Yanbu Refinery,2022,220
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2002,115
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2003,122
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2004,120
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2005,121
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2006,128
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2007,120
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2008,122
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2009,124
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2010,124
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2011,124
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2012,124
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2013,124
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2014,126
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2015,126
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2016,126
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2017,126
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2018,126
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2019,126
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2020,130
Saudi Arabia,Saudi Aramco,Riyadh Refinery         ,2021,130
