Country,Product,Unit,Year,Value
Saudi Arabia,Natural Gas,bn standard cu m,2002,"6,646"
Saudi Arabia,Natural Gas,bn standard cu m,2003,"6,754"
Saudi Arabia,Natural Gas,bn standard cu m,2004,"6,834"
Saudi Arabia,Natural Gas,bn standard cu m,2005,"6,900"
Saudi Arabia,Natural Gas,bn standard cu m,2006,"7,154"
Saudi Arabia,Natural Gas,bn standard cu m,2007,"7,305"
Saudi Arabia,Natural Gas,bn standard cu m,2008,"7,570"
Saudi Arabia,Natural Gas,bn standard cu m,2009,"7,920"
Saudi Arabia,Natural Gas,bn standard cu m,2010,"8,016"
Saudi Arabia,Natural Gas,bn standard cu m,2011,"8,151"
Saudi Arabia,Natural Gas,bn standard cu m,2012,"8,235"
Saudi Arabia,Natural Gas,bn standard cu m,2013,"8,317"
Saudi Arabia,Natural Gas,bn standard cu m,2014,"8,489"
Saudi Arabia,Natural Gas,bn standard cu m,2015,"8,588"
Saudi Arabia,Natural Gas,bn standard cu m,2016,"8,619"
Saudi Arabia,Natural Gas,bn standard cu m,2017,"8,715"
Saudi Arabia,Natural Gas,bn standard cu m,2018,"8,260"
Saudi Arabia,Natural Gas,bn standard cu m,2019,"8,366"
Saudi Arabia,Natural Gas,bn standard cu m,2020,"8,437"
Saudi Arabia,Natural Gas,bn standard cu m,2021,"8,507"
Saudi Arabia,Natural Gas,bn standard cu m,2022,"9,514"
Saudi Arabia,Natural Gas,bn standard cu m,2023,"9,651"
Saudi Arabia,Natural Gas,bn standard cu m,2024,"9,727"
