Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Jan,1056
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Feb,1118
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Mar,1091
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Apr,1118
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,May,1123
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Jun,1257
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Jul,1218
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Aug,1289
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Sep,1258
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Oct,1226
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Nov,1199
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2002,Dec,1044
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Jan,1108
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Feb,1095
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Mar,1157
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Apr,1181
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,May,1234
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Jun,1395
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Jul,1339
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Aug,1373
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Sep,1333
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Oct,1223
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Nov,1186
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2003,Dec,1096
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Jan,1240
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Feb,1102
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Mar,1137
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Apr,1240
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,May,1221
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Jun,1472
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Jul,1438
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Aug,1398
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Sep,1405
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Oct,1247
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Nov,1204
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2004,Dec,1187
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Jan,1241
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Feb,1139
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Mar,1193
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Apr,1309
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,May,1352
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Jun,1445
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Jul,1477
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Aug,1448
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Sep,1512
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Oct,1344
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Nov,1267
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2005,Dec,1219
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Jan,1231
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Feb,1246
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Mar,1282
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Apr,1309
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,May,1401
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Jun,1493
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Jul,1493
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Aug,1705
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Sep,1499
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Oct,1476
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Nov,1488
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2006,Dec,1183
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2007,Jan,1311
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2007,Feb,1369
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2007,Mar,1371
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2007,Apr,1374
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2007,May,1596
